date,1. open,2. high,3. low,4. close,5. volume,5. change in price
2020-11-25 19:47:00,575.4,575.48,575.2,575.2,2086.0,-0.1999999999999318
2020-11-25 19:46:00,575.4,575.5,575.4,575.5,490.0,0.10000000000002274
2020-11-25 19:45:00,575.51,575.51,575.5,575.5,633.0,-0.009999999999990905
2020-11-25 19:44:00,575.25,575.46,575.25,575.4,958.0,0.14999999999997726
2020-11-25 19:43:00,575.4,575.5,575.11,575.11,5129.0,-0.2899999999999636
2020-11-25 19:42:00,574.84,575.4,574.84,575.26,3904.0,0.4199999999999591
2020-11-25 19:41:00,575.16,575.16,575.16,575.16,573.0,0.0
2020-11-25 19:40:00,574.98,575.25,574.98,575.1,2367.0,0.12000000000000455
2020-11-25 19:39:00,574.8,574.8,574.8,574.8,774.0,0.0
2020-11-25 19:38:00,574.65,574.92,574.65,574.7,802.0,0.05000000000006821
2020-11-25 19:37:00,574.8,574.8,574.56,574.56,937.0,-0.2400000000000091
2020-11-25 19:36:00,574.6,574.6,574.6,574.6,534.0,0.0
2020-11-25 19:35:00,574.56,574.75,574.5,574.5,4048.0,-0.05999999999994543
2020-11-25 19:34:00,574.58,574.95,574.56,574.75,3186.0,0.16999999999995907
2020-11-25 19:32:00,575.0,575.0,575.0,575.0,918.0,0.0
2020-11-25 19:31:00,575.15,575.4,575.0,575.4,1426.0,0.25
2020-11-25 19:30:00,575.34,575.4,575.34,575.4,797.0,0.05999999999994543
2020-11-25 19:29:00,575.2,575.45,575.06,575.4,5357.0,0.1999999999999318
2020-11-25 19:28:00,575.34,575.35,575.34,575.35,1131.0,0.009999999999990905
2020-11-25 19:27:00,575.35,575.4,575.35,575.35,1361.0,0.0
2020-11-25 19:26:00,575.2,575.2,575.15,575.15,1000.0,-0.05000000000006821
2020-11-25 19:24:00,575.05,575.05,575.05,575.05,615.0,0.0
2020-11-25 19:23:00,575.1,575.27,575.1,575.25,1111.0,0.14999999999997726
2020-11-25 19:22:00,575.22,575.29,575.1,575.1,1180.0,-0.12000000000000455
2020-11-25 19:21:00,575.0,575.15,574.99,575.15,2030.0,0.14999999999997726
2020-11-25 19:20:00,574.66,574.9,574.66,574.9,810.0,0.2400000000000091
2020-11-25 19:19:00,575.01,575.1,574.8,574.95,3526.0,-0.05999999999994543
2020-11-25 19:18:00,575.15,575.15,575.01,575.01,2356.0,-0.13999999999998636
2020-11-25 19:17:00,575.2199,575.2199,575.2199,575.2199,352.0,0.0
2020-11-25 19:16:00,575.44,575.44,575.44,575.44,622.0,0.0
2020-11-25 19:15:00,575.25,575.34,575.2,575.2,2025.0,-0.049999999999954525
2020-11-25 19:14:00,575.49,575.49,575.12,575.12,1602.0,-0.37000000000000455
2020-11-25 19:13:00,575.34,575.34,575.34,575.34,658.0,0.0
2020-11-25 19:12:00,575.5,575.5,575.5,575.5,328.0,0.0
2020-11-25 19:11:00,575.25,575.49,575.25,575.3,1264.0,0.049999999999954525
2020-11-25 19:10:00,575.5,575.5,575.5,575.5,282.0,0.0
2020-11-25 19:09:00,575.6,575.6,575.04,575.2,2538.0,-0.39999999999997726
2020-11-25 19:08:00,575.57,575.65,575.57,575.65,638.0,0.07999999999992724
2020-11-25 19:07:00,575.62,575.75,575.5,575.75,1987.0,0.12999999999999545
2020-11-25 19:06:00,575.66,575.84,575.31,575.31,2093.0,-0.35000000000002274
2020-11-25 19:05:00,575.75,575.8899,575.72,575.88,2306.0,0.12999999999999545
2020-11-25 19:04:00,575.8,575.89,575.8,575.8,1662.0,0.0
2020-11-25 19:03:00,575.73,575.9,575.73,575.9,5319.0,0.16999999999995907
2020-11-25 19:02:00,575.61,575.79,575.61,575.79,2539.0,0.17999999999994998
2020-11-25 19:01:00,575.6,575.7,575.6,575.61,1776.0,0.009999999999990905
2020-11-25 19:00:00,575.6,575.6,575.52,575.53,1709.0,-0.07000000000005002
2020-11-25 18:59:00,575.6,575.63,575.5,575.6,3732.0,0.0
2020-11-25 18:58:00,575.43,575.65,575.43,575.6,5744.0,0.17000000000007276
2020-11-25 18:57:00,575.34,575.4,575.3,575.3,5724.0,-0.04000000000007731
