,Change In Price,Favorites,Retweets,Text,Negative,Neutral,Positive,Compound
2020-04-06,1.0080032348632812,13778.307692307693,1006.1538461538463,"🤣🤣, Puts our basic instincts on a roller coaster, Twitter causes id sinuation, That’s our goal!, This is awesome!,Starship fuel header tank Like tears in rain, Ok, Amazing 🤣🤣,Music is a limbic resonator, Nice ink, Not a question of wanting to do it or not, but rather having anyone there to make sure it gets delivered &amp; works, Not true",0.068,0.762,0.17,0.6943
2020-04-07,0.089996337890625,13334.583333333336,1482.5,"Cool, Aim for zero velocity just above surface &amp; fall. You won’t fall fast., Fine by me,The 20th &amp; final Dragon 1 mission is complete We’re about to release a #Dragon into space. Tune in live at 8:45am ET to see a spacecraft packed with cargo and Ok, Coming soon, Definitely, Probably best to keep control local, but easy to check status from afar, High pucker-factor landing you go !!",0.0,0.818,0.182,0.8894
2020-04-08,-1.0719985961914062,12097.9,1357.5,"Essentially, . Good one,What is simple in one arena is often profound in another, Ok,Great differences in technology exist in the world about which even hardcore technologists are unaware, AddLabel -&gt; PersonDressedAsCone,RT Four years ago today, Falcon 9 landed on the Of Course I Still Love You droneship for the first time. Additional Falcon landing…, Certainly no problem for a 144 trillion operations per second computer to make ~15 stee… Humans drive using 2 cameras on a slow gimbal &amp; are often distracted. A Tesla with 8 cameras, radar,…",0.098,0.799,0.103,0.34
2020-04-09,2.1819992065429688,2544.5454545454545,392.45454545454544,"String theory, There’s a bit more to it than that, You’re welcome!,RT Tesla wins 5/6 Kelley Blue Book awards Best Overall Best Value Most Refined Best Performance Best Styling,",0.0,0.445,0.555,0.9802
2020-04-13,12.158004760742188,57951.714285714275,8101.428571428572,"This will happen, We stole that from cheetahs, In case it’s not already obvious, our product plan is basically stolen from Spaceballs, There’s a lot to talk about just on the battery front, so, yeah, just that. I guess we coul… Just battery day, but it will be great. Plaid powertrain will be later this year., 五輪書,While others party, he study the blade",0.03,0.812,0.159,0.876
2020-04-14,2.183990478515625,17228.5,700.5,"Initial production at Giga Berlin is Model Y, You will be able to wrap it in any color or pattern, There’s tough competition for that title, but we will give it our best shot!,Giga Berlin will have world’s most advanced paint shop, with more layers of stunning colors that subtly change with curvature",0.02,0.777,0.203,0.9271
2020-04-15,-2.433990478515625,9525.0,346.0,"To be clear, Fremont &amp; Shanghai will also be upgraded over time, but it’s hard to retrofit these improvements to an operating paint shop",0.059,0.768,0.174,0.4854
2020-04-16,5.6540069580078125,10681.350877192983,1280.842105263158,"Reviewing overall system with vehicle engineering team next week. Should have number then., Reduced size by ~3%, center line is more level &amp; lower window sill height, 🤣🤣, All new, It is about 10% too small, but lots of fun , We’re working on increasing dynamic air suspension travel for better off-roading. Needs to kick butt in Baja., Karma is real, Yeah, super messed up,These were based on direct requests from their ICU wards, with exact specifications of each unit provided before shipment,Partial list of hospitals to which Tesla sent ventilators Perhaps you are unaware that Twitter has a search function? The hospitals *themselves* acknowledged receipt of ventilators., Nice, All, Interesting, So true, Not to mention Medtronic, who makes the most advanced ventilators in the world, also affirming ou… I literally have the receipts!! This is so dumb. 🤣🤣, . please fix this misunderstanding, Exactly, What I find most surprising is that CNN still exists,“Dr. Levitan advocates combining breathing support from a CPAP machine or regular oxygen with comfortable positioning”. Yup.,“Don’t jump to intubation.” — Dr Caputo A mask or nose “ventilator” with moderately increased oxygen % will… Sounds about right Roughly what is the survival rate of intubated patients? I’m hearing 10% to 20%. Is this overly pessimistic?, I know of two nurses who had their job offers revoked, one in NYC and one in Arlington, We’re working super hard on getting traffic lights &amp; stops released. Re… They were, but are they currently?, Interesting, We are hearing almost all hospital ICUs have excess capacity. In some cases, 60% empty., SN26, Merlin is arguably version… The way th… Fundamentally, Atlas is still dependent on Russia to launch, Yeah, Atlas main engine is Russian. Great engine, b… Tesla actually sent… Sorry, meant to say only US rocket. Atlas V is close, but not yet 100%., Tesla *was* saved by an investment in May 2009 from Daimler, not govt. Without t… Exactly. In mid 2009, Tesla received non-binding approval for loan program actua… Last I checked, over a million dollars less. Moreover, F9 is launching far… Also, it costs less $ to insure a Falcon 9 mission. That’s the acid test., True. Only reason other medium &amp; heavy lift rocket companies are winning any missions at all is due to…",0.054,0.748,0.198,0.9969
2020-04-17,-3.6779937744140634,6036.3,736.0,"RT Human spaceflight is returning to America! On May 27, astronauts and will launch…, Trying have fewer parts, so strakes are unlikely. Some very counterintuitive CFD resul… Flaps, actuator &amp; static aero are undergoing redesign for mass reduction &amp; simplicity, Will do, True, Exactly, 🤣,Good progress, but 18 years to launch our first humans is a long time. Technology must advance faster or there will… Pretty much, although we also sent some Medtronic units, which are meant for extreme situations. Those r… It’s a hard problem, mostly due to esthetics, but it’s the future we should have",0.05,0.869,0.081,0.501
2020-04-20,2.7320098876953125,6198.8,370.2,"Thanks everyone! Still can’t believe I was born 69 days after 4/20 🤓, Yes. It will even float for a while., Yeah, and whole lot more! Aargh, I’m dying to make Cybertruck like yesterday!!, Thinking about this …, This is the key paragraph",0.0,0.763,0.237,0.8877
2020-04-21,-8.680007934570312,3344.666666666666,374.33333333333326,"Good article, Am in Boca working on the rocket with an awesome team, so pretty great :), 🤣🤣, Definitely header tanks &amp; nosecone on SN5, hopefully flaps too. Definitely flaps on SN6, Crazy times!, Red sky of Mars is Blue at dawn &amp; dusk, Check the warranty …, Guaranteed to make any party more fun!,RT On May 1, we're previewing the return of human spaceflight to U.S. soil. Hear from and NASA managers…",0.026,0.691,0.283,0.9746
